Date,High,Low,Close
2014-01-02,184.07000732421875,182.47999572753906,161.63357543945312
2014-01-03,183.60000610351562,182.6300048828125,161.60704040527344
2014-01-06,183.55999755859375,182.0800018310547,161.13870239257812
2014-01-07,183.7899932861328,182.9499969482422,162.12838745117188
2014-01-08,183.8300018310547,182.88999938964844,162.16378784179688
2014-01-09,184.1300048828125,182.8000030517578,162.269775390625
2014-01-10,184.22000122070312,183.00999450683594,162.71157836914062
2014-01-13,184.17999267578125,181.33999633789062,160.54669189453125
2014-01-14,183.77000427246094,181.9499969482422,162.29629516601562
2014-01-15,184.94000244140625,183.7100067138672,163.1710662841797
2014-01-16,184.66000366210938,183.8300018310547,162.958984375
2014-01-17,184.4499969482422,183.32000732421875,162.269775390625
2014-01-21,184.77000427246094,183.0500030517578,162.7469482421875
2014-01-22,184.57000732421875,183.91000366210938,162.8529815673828
2014-01-23,183.39999389648438,181.82000732421875,161.5187225341797
2014-01-24,181.66000366210938,178.8300018310547,158.07257080078125
2014-01-27,179.52000427246094,177.1199951171875,157.294921875
2014-01-28,179.3000030517578,178.1199951171875,158.23158264160156
2014-01-29,178.5500030517578,176.8800048828125,156.7117462158203
2014-01-30,179.80999755859375,178.25999450683594,158.3730010986328
2014-01-31,179.2899932861328,176.9199981689453,157.44512939453125
2014-02-03,178.3699951171875,173.8300018310547,153.9018096923828
2014-02-04,175.83999633789062,174.11000061035156,154.9797821044922
2014-02-05,175.55999755859375,173.7100067138672,154.78543090820312
2014-02-06,177.47999572753906,175.22000122070312,156.82659912109375
2014-02-07,179.8699951171875,177.72999572753906,158.77061462402344
2014-02-10,180.07000732421875,179.2100067138672,159.0621795654297
2014-02-11,182.44000244140625,180.0399932861328,160.80296325683594
2014-02-12,182.8300018310547,181.7100067138672,160.8824920654297
2014-02-13,183.1999969482422,180.8300018310547,161.7130584716797
2014-02-14,184.36000061035156,182.6699981689453,162.60557556152344
2014-02-18,184.49000549316406,183.64999389648438,162.79995727539062
2014-02-19,184.9499969482422,182.8699951171875,161.72195434570312
2014-02-20,184.52000427246094,182.60000610351562,162.67623901367188
2014-02-21,184.88999938964844,183.8000030517578,162.49069213867188
2014-02-24,186.14999389648438,184.1999969482422,163.3920135498047
2014-02-25,185.58999633789062,184.22999572753906,163.33013916015625
2014-02-26,185.60000610351562,184.3300018310547,163.3389892578125
2014-02-27,185.8699951171875,184.3699951171875,164.1960906982422
2014-02-28,187.14999389648438,185.0500030517578,164.6113739013672
2014-03-03,185.4499969482422,183.75,163.4537811279297
2014-03-04,187.97999572753906,186.75,165.75131225585938
2014-03-05,188.07000732421875,187.4499969482422,165.9014892578125
2014-03-06,188.61000061035156,187.77999877929688,166.28146362304688
2014-03-07,188.9600067138672,187.42999267578125,166.35214233398438
2014-03-10,188.22999572753906,187.0800018310547,166.26377868652344
2014-03-11,188.7100067138672,186.8000030517578,165.44195556640625
2014-03-12,187.35000610351562,185.89999389648438,165.4861602783203
2014-03-13,187.99000549316406,184.66000366210938,163.63055419921875
2014-03-14,185.8000030517578,184.44000244140625,163.1710662841797
2014-03-17,186.77000427246094,185.50999450683594,164.64671325683594
2014-03-18,187.91000366210938,186.50999450683594,165.82196044921875
2014-03-19,187.94000244140625,185.47000122070312,164.9383087158203
2014-03-20,187.88999938964844,185.9199981689453,165.9014892578125
2014-03-21,189.02000427246094,186.02999877929688,165.258056640625
2014-03-24,187.07000732421875,184.6199951171875,164.57461547851562
2014-03-25,186.94000244140625,185.27000427246094,165.35565185546875
2014-03-26,187.33999633789062,184.9199981689453,164.16636657714844
2014-03-27,185.33999633789062,183.89999389648438,163.8202667236328
2014-03-28,186.4199981689453,185.0,164.62789916992188
2014-03-31,187.3000030517578,185.52000427246094,165.9769744873047
2014-04-01,188.36000061035156,187.0,167.07745361328125
2014-04-02,189.1300048828125,188.13999938964844,167.63662719726562
2014-04-03,189.22000122070312,188.0500030517578,167.4147186279297
2014-04-04,189.6999969482422,186.10000610351562,165.43553161621094
2014-04-07,186.25999450683594,183.9600067138672,163.6072235107422
2014-04-08,185.39999389648438,183.58999633789062,164.28179931640625
2014-04-09,187.14999389648438,185.05999755859375,166.04794311523438
2014-04-10,187.1699981689453,182.92999267578125,162.5599365234375
2014-04-11,183.4199981689453,181.30999755859375,161.09555053710938
2014-04-14,183.3699951171875,181.44000244140625,162.36465454101562
2014-04-15,184.3300018310547,181.50999450683594,163.48297119140625
2014-04-16,186.13999938964844,184.64999389648438,165.19590759277344
2014-04-17,186.91000366210938,185.55999755859375,165.42665100097656
2014-04-21,187.10000610351562,186.2100067138672,166.00355529785156
2014-04-22,188.39999389648438,187.1300048828125,166.75796508789062
